         10865342 function calls (10865160 primitive calls) in 1022.365 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      633    0.006    0.000    0.008    0.000 /usr/lib/python3.6/http/client.py:520(_read_and_discard_trailer)
     2580    0.006    0.000    0.008    0.000 /usr/lib/python3.6/email/message.py:29(_splitparam)
      645    0.006    0.000    0.009    0.000 /usr/local/lib/python3.6/dist-packages/h5py/_hl/compat.py:103(filename_encode)
      645    0.006    0.000    0.017    0.000 /usr/lib/python3.6/urllib/request.py:381(_parse)
     2580    0.005    0.000    0.005    0.000 /usr/lib/python3.6/weakref.py:339(__init__)
      645    0.005    0.000   50.527    0.078 /usr/lib/python3.6/multiprocessing/pool.py:610(__exit__)
      645    0.005    0.000    0.033    0.000 {method 'close' of '_io.BufferedReader' objects}
     8155    0.005    0.000    0.005    0.000 {method 'startswith' of 'str' objects}
     1436    0.005    0.000    0.008    0.000 /usr/lib/python3.6/enum.py:265(__call__)
      645    0.005    0.000    0.523    0.001 /usr/lib/python3.6/multiprocessing/pool.py:248(_setup_queues)
      645    0.005    0.000  154.240    0.239 /usr/local/lib/python3.6/dist-packages/kplr/api.py:412(light_curves)
     7740    0.005    0.000    0.031    0.000 /usr/lib/python3.6/urllib/parse.py:791(quote_plus)
     2268    0.005    0.000    0.038    0.000 /usr/local/lib/python3.6/dist-packages/numpy/core/fromnumeric.py:2323(amin)
      645    0.005    0.000    0.005    0.000 {method 'setsockopt' of '_socket.socket' objects}
     5160    0.005    0.000    0.006    0.000 /usr/lib/python3.6/email/message.py:479(set_raw)
      648    0.005    0.000    0.011    0.000 /usr/lib/python3/dist-packages/pandas/core/series.py:367(values)
      648    0.005    0.000    0.007    0.000 /usr/lib/python3/dist-packages/pandas/core/frame.py:2141(_getitem_column)
      645    0.005    0.000    0.005    0.000 {built-in method posix.write}
     5148    0.005    0.000    0.025    0.000 /usr/lib/python3.6/email/_policybase.py:311(header_fetch_parse)
    20640    0.005    0.000    0.005    0.000 {method 'bit_length' of 'int' objects}
     3026    0.005    0.000    0.005    0.000 {method 'take' of 'numpy.ndarray' objects}
     1593    0.005    0.000    0.008    0.000 {built-in method _warnings.warn}
     1290    0.005    0.000    0.211    0.000 /usr/lib/python3.6/email/feedparser.py:178(_call_parse)
      645    0.005    0.000    0.005    0.000 /usr/local/lib/python3.6/dist-packages/h5py/_hl/files.py:291(<listcomp>)
     3225    0.005    0.000    0.005    0.000 {method 'append' of 'collections.deque' objects}
     5148    0.005    0.000    0.007    0.000 /usr/lib/python3.6/email/utils.py:51(_has_surrogates)
      645    0.004    0.000  109.685    0.170 /usr/lib/python3.6/urllib/request.py:1345(http_open)
     5160    0.004    0.000    0.006    0.000 /usr/lib/python3.6/_weakrefset.py:38(_remove)
      645    0.004    0.000    0.008    0.000 /usr/lib/python3.6/urllib/parse.py:932(splittype)
      648    0.004    0.000    0.006    0.000 /usr/lib/python3/dist-packages/pandas/core/internals.py:4503(external_values)
      645    0.004    0.000    0.013    0.000 /usr/lib/python3.6/multiprocessing/connection.py:390(_send_bytes)
     8385    0.004    0.000    0.004    0.000 {method 'discard' of 'set' objects}
     1290    0.004    0.000    0.012    0.000 /usr/lib/python3.6/socket.py:97(_intenum_converter)
     2580    0.004    0.000    0.014    0.000 /usr/lib/python3.6/multiprocessing/connection.py:130(__del__)
     2580    0.004    0.000    0.004    0.000 /usr/local/lib/python3.6/dist-packages/h5py/_hl/base.py:269(__init__)
     3225    0.004    0.000    0.029    0.000 /usr/lib/python3.6/multiprocessing/process.py:112(terminate)
      645    0.004    0.000    0.005    0.000 /usr/lib/python3.6/urllib/request.py:635(http_response)
      645    0.004    0.000    0.024    0.000 /usr/lib/python3.6/urllib/request.py:350(full_url)
     2580    0.004    0.000    0.006    0.000 /usr/lib/python3.6/weakref.py:334(__new__)
      645    0.004    0.000    0.005    0.000 /usr/lib/python3.6/http/client.py:942(close)
      645    0.004    0.000    0.009    0.000 /usr/lib/python3.6/http/client.py:405(close)
     1512    0.004    0.000    0.317    0.000 /usr/local/lib/python3.6/dist-packages/numpy/lib/function_base.py:4180(percentile)
      645    0.004    0.000    0.016    0.000 /usr/lib/python3.6/http/client.py:1071(putrequest)
     1935    0.004    0.000    0.005    0.000 /usr/lib/python3.6/threading.py:966(_stop)
