         33387371 function calls (33387189 primitive calls) in 2525.396 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    40012 1697.037    0.042 1697.037    0.042 {method 'acquire' of '_thread.lock' objects}
     2000    0.019    0.000    1.299    0.001 /usr/lib/python3.6/multiprocessing/pool.py:248(_setup_queues)
     2000    0.018    0.000  134.661    0.067 /usr/lib/python3.6/multiprocessing/pool.py:537(terminate)
     8000    0.018    0.000    1.009    0.000 /usr/lib/python3.6/multiprocessing/synchronize.py:162(__init__)
    10703    0.018    0.000    0.101    0.000 /usr/local/lib/python3.6/dist-packages/numpy/core/numeric.py:424(asarray)
     2000    0.017    0.000    0.070    0.000 /usr/lib/python3.6/socket.py:649(close)
     2000    0.017    0.000    0.017    0.000 /usr/lib/python3.6/email/feedparser.py:53(__init__)
    74653    0.017    0.000    0.017    0.000 {method 'items' of 'dict' objects}
     2000    0.017    0.000    0.318    0.000 /usr/local/lib/python3.6/dist-packages/numpy/core/_methods.py:133(_std)
     2001    0.017    0.000    0.173    0.000 /usr/lib/python3.6/urllib/request.py:326(__init__)
     6000    0.017    0.000    0.096    0.000 /usr/lib/python3.6/threading.py:1024(join)
     2001    0.017    0.000    0.050    0.000 /usr/lib/python3.6/urllib/request.py:381(_parse)
     2000    0.017    0.000    0.017    0.000 {method 'dump' of '_pickle.Pickler' objects}
     2004    0.017    0.000    0.024    0.000 /usr/lib/python3/dist-packages/pandas/core/internals.py:4503(external_values)
     2004    0.016    0.000    0.022    0.000 /usr/lib/python3/dist-packages/pandas/core/frame.py:2141(_getitem_column)
    24012    0.016    0.000    0.104    0.000 /usr/lib/python3.6/urllib/parse.py:791(quote_plus)
     1943    0.016    0.000  121.787    0.063 /usr/lib/python3.6/http/client.py:558(_readall_chunked)
     2000    0.016    0.000    0.018    0.000 /usr/local/lib/python3.6/dist-packages/h5py/_hl/files.py:291(<listcomp>)
     2001    0.015    0.000  599.827    0.300 /usr/local/lib/python3.6/dist-packages/kplr/api.py:412(light_curves)
     9202    0.015    0.000    0.015    0.000 {method 'take' of 'numpy.ndarray' objects}
    10000    0.015    0.000    0.019    0.000 /usr/lib/python3.6/multiprocessing/process.py:150(name)
     2000    0.015    0.000   38.737    0.019 /scratch/yyl/noisecorre/keputils.py:200(local_view)
     2000    0.015    0.000    0.579    0.000 /usr/lib/python3.6/email/feedparser.py:173(feed)
     6900    0.015    0.000    0.105    0.000 /usr/local/lib/python3.6/dist-packages/numpy/core/fromnumeric.py:2323(amin)
     8000    0.014    0.000    0.021    0.000 /usr/lib/python3.6/email/message.py:29(_splitparam)
     1943    0.014    0.000    0.019    0.000 /usr/lib/python3.6/http/client.py:520(_read_and_discard_trailer)
     8000    0.014    0.000    0.042    0.000 /usr/lib/python3.6/multiprocessing/connection.py:130(__del__)
     2000    0.014    0.000   10.044    0.005 /usr/local/lib/python3.6/dist-packages/numpy/core/fromnumeric.py:851(argsort)
     4148    0.014    0.000    0.022    0.000 /usr/lib/python3.6/enum.py:265(__call__)
     8000    0.014    0.000    0.014    0.000 /usr/lib/python3.6/weakref.py:339(__init__)
     2000    0.014    0.000  134.674    0.067 /usr/lib/python3.6/multiprocessing/pool.py:610(__exit__)
     2001    0.014    0.000    0.072    0.000 /usr/lib/python3.6/urllib/request.py:350(full_url)
    16000    0.014    0.000    0.018    0.000 /usr/lib/python3.6/_weakrefset.py:38(_remove)
     3744    0.013    0.000   20.016    0.005 /usr/lib/python3.6/multiprocessing/popen_fork.py:43(wait)
     4600    0.013    0.000    1.023    0.000 /usr/local/lib/python3.6/dist-packages/numpy/lib/function_base.py:4180(percentile)
    16000    0.013    0.000    0.016    0.000 /usr/lib/python3.6/email/message.py:479(set_raw)
     2004    0.012    0.000    0.037    0.000 /usr/lib/python3/dist-packages/pandas/core/series.py:367(values)
     2000    0.012    0.000    0.082    0.000 {method 'close' of '_io.BufferedReader' objects}
     8000    0.012    0.000    0.018    0.000 /usr/lib/python3.6/weakref.py:334(__new__)
    16000    0.012    0.000    0.012    0.000 {method 'release' of '_thread.lock' objects}
     2001    0.012    0.000    0.022    0.000 /usr/lib/python3.6/urllib/parse.py:932(splittype)
     6000    0.012    0.000    0.014    0.000 /usr/lib/python3.6/threading.py:1136(daemon)
     2000    0.012    0.000    0.012    0.000 {built-in method posix.write}
    64000    0.012    0.000    0.012    0.000 {method 'bit_length' of 'int' objects}
    15943    0.012    0.000    0.062    0.000 /usr/lib/python3.6/email/_policybase.py:311(header_fetch_parse)
     2001    0.012    0.000    0.075    0.000 /usr/lib/python3.6/urllib/request.py:308(request_host)
    22415    0.012    0.000    0.012    0.000 {method 'startswith' of 'str' objects}
    15943    0.012    0.000    0.018    0.000 /usr/lib/python3.6/email/utils.py:51(_has_surrogates)
